organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
National Library Board,6ca1a5e4-60aa-4e71-aa93-d3f6c657c8a4,Libraries,20/05/2015,18/12/2017,Locate libraries in Singapore,Adhoc,na,na,8680880b-4da2-4f51-8746-0c4ac06dc984,Libraries (KML),na,KML
Agri-Food & Veterinary Authority of Singapore,e8283135-738d-45b0-a135-a18c6784ac24,Licensed Food Establishments - Food Factories,20/05/2015,06/02/2017,"Licensing of food establishments including meat, fish and processed food establishments, cold stores and slaughter-houses",Annual,01/01/1993,31/12/2014,e6e58775-49b2-47cc-9689-08a2ba843fff,"Licensed Food Factories, (End Of Period), Annual",na,CSV
National Environment Agency,7e978f97-cd12-4baf-97fa-1fd8171182e3,Licensed Food Establishments - Supermarkets,20/05/2015,21/04/2017,This Dataset shows the number of Supermarkets per year.,Annual,01/01/1993,31/12/2014,7d227335-2f09-4aa8-b99f-14949e5433a1,"Licensed Supermarkets, (End Of Period), Annual",na,CSV
Building and Construction Authority,1406738c-f2cb-4531-aca2-484327139dcf,Lift Lodgement Listing,27/06/2016,19/04/2017,List of lifts lodge with their expiry date,Annual,01/01/2016,30/11/2017,d361d45e-e20e-4df4-9b79-8fea50c01b63,Lift Lodgement Listing,"This is a listing of owners of lifts, lift location address and their expiry date.",CSV
Ministry of Home Affairs - Singapore Police Force,07481f59-f513-4c9b-8bb4-732ba9185fdd,Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act 2015,27/04/2016,01/04/2017,Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act 2015,Adhoc,na,na,33e5479d-84c1-4e55-aaa8-f506d8ebfa55,Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act (KML),na,KML
Ministry of Home Affairs - Singapore Police Force,07481f59-f513-4c9b-8bb4-732ba9185fdd,Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act 2015,27/04/2016,01/04/2017,Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act 2015,Adhoc,na,na,6c90f36c-e4d2-42e8-a99f-6272864b3667,Liquor Control Zone(s) proclaimed under Liquor Control (Supply and Consumption) Act (SHP),na,SHP
National Environment Agency,8ab65554-8baf-449a-8c93-f544b797c532,Lighting Waste Collection Points,20/10/2015,23/06/2017,Lighting waste recycling near you.,Annual,na,na,ca656e2c-59e2-429e-86c6-e253ba3a7272,Lighting Waste Collection Points (KML),na,KML
National Environment Agency,8ab65554-8baf-449a-8c93-f544b797c532,Lighting Waste Collection Points,20/10/2015,23/06/2017,Lighting waste recycling near you.,Annual,na,na,ac0a0d28-0db6-4dca-8ce7-b5f25f947ef6,Lighting Waste Collection Points (SHP),na,SHP
Early Childhood Development Agency,07d147d2-74f9-4950-92b2-836c61e5d5dd,Listing of Childcare Centre Services,13/11/2017,25/01/2018,This data set contains the listing of services provided by childcare centres.,Annual,23/02/2007,23/01/2018,0c14ceec-da1b-43c6-92fc-e82d7219840b,Listing of Childcare Centre Services,na,CSV
Health Sciences Authority,6584cd65-678a-45b8-b655-c2aed119cfaa,Listing of Illegal Health Products found in Singapore,30/06/2016,26/12/2017,Listing of Illegal Health Products found in Singapore,Half Year,01/07/2016,01/07/2016,a38f6758-e204-4896-8e98-368ef4cadfc1,Listing of Illegal Health Products found in Singapore,na,CSV
Building and Construction Authority,2b37b013-4f4d-49ac-abba-f99db0a4e4ca,Listing of Licensed Builders,21/06/2016,19/04/2017,"This dataset contains the list of licensed builders. The Licensing of Builders Scheme is part of BCAâ€™s long-term plan to upgrade the safety and quality standards of the construction sector. The aim of licensing of builders is to raise professionalism among builders by requiring them to meet minimum standards of management, safety record and financial solvency.",Annual,24/06/2016,27/08/2019,aefa2952-5b91-486b-ac22-0480ad443985,Listing Of Licensed Builders,Listing Of Licensed Builders,CSV
Health Sciences Authority,74ad1c89-d959-4a7e-b143-df9253e80420,Listing of Licensed Pharmacies,29/06/2016,21/12/2017,"Listing of licensed pharmacies and locations.Data correct as at 22 Mar 2017.  For the latest list of health products, please refer to HSA website.http://eservice.hsa.gov.sg/prism/common/enquirepublic/SearchPharmacy.do?action=load",Half Year,21/06/2016,22/03/2017,16db7800-d81e-4d0d-9d59-936f2c10d668,Listing of Licensed Pharmacies,"List of licensed pharmacies and locations.Data correct as at 22 Mar 2017. For the latest list of health products, please refer to HSA website.",CSV
Early Childhood Development Agency,17d94d20-ff91-4d02-a6cc-beee73baad62,Kindergartens,20/05/2015,18/12/2017,To identify the location of ECDA-registered kindergartens,Adhoc,na,na,9efb984f-05e5-4a23-acd9-1f6fc3082f3a,Kindergartens (KML),na,KML
Health Sciences Authority,e5ad948d-4b05-4438-a622-95cd594c6cd0,Listing of Registered Chinese Proprietary Medicine Products,30/06/2016,22/08/2017,Listing of registered chinese proprietary medicine products,Half Year,21/02/2017,21/08/2017,0236c6d7-9529-438e-9c22-764539e1e65c,Listing of registered Chinese Proprietary Medicine Products,"Listing of registered Chinese Proprietary Medicine Products.Data correct as at 21 Aug 2017.  For the latest list of health products, please refer to HSA website.http://eservice.hsa.gov.sg/prism/common/enquirepublic/SearchPharmacy.do?action=load",CSV
Health Sciences Authority,7a59bc82-d9db-4d39-b3bf-dce0f0326713,Listing of Licensed Tobacco Retailers,15/06/2016,21/12/2017,"File correct as at 21 Jun 2016.  For the latest list of health products, please refer to HSA website (http://eservice.hsa.gov.sg/prism/common/enquirepublic/SearchTRURetail.do?action=load).",Half Year,02/01/2015,21/06/2016,2e6e024c-9f19-4564-ab6c-3d97b7c6bfc4,List of Tobacco Retailers,na,CSV
Building and Construction Authority,3297ef04-af6c-4a5c-af06-17ac422bd497,Listing Of Public Sector Panels Of Consultants,23/06/2016,19/04/2017,"This dataset contains the list of Public Sector Panels of Consultants (PSPC). The PSPC is administered by the Building andConstruction Authority, on behalf of the Ministry of Finance to serve the procurementneeds of government departments, statutory bodies and other public sectororganisations. The PSPC serves only for public sector procurement. As such, businessentities which are not listed with PSPC are not precluded from providing consultancyservices outside the public sector.The Public Sector Panels of Consultants (PSPC) serves to list firms that provideconsultancy services for public sector building and construction projects, categorised bydifferent disciplines and project cost ranges.",Annual,01/01/2015,31/12/2016,f03efa8c-d6cb-4a55-a8b3-3b5a697f5a40,Listing Of Public Sector Panels Of Consultants,Listing Of Public Sector Panels Of Consultants,CSV
Building and Construction Authority,a8356cb8-8dd9-4436-a259-a9a3aa87f5c6,Listing Of Registered Contractors,21/06/2016,19/04/2017,This dataset contains the list of contractors registered in BCA Contractor Registration System (CRS). The BCA Contractors Registration System (CRS) serves the construction and construction-related procurement needs of the public sector including government ministries and statutory boards.,Annual,01/07/2016,01/08/2019,a9a9327f-7634-4367-be7f-d679a729bd96,Listing of Registered Contractors,na,CSV
Housing and Development Board,e6204ae2-a07f-4fbb-a09b-5149f23e9955,Listing of Registered Renovation Contractors,06/05/2016,03/01/2018,"Disclaimer: The engagement of the HDB Registered Renovation Contractors is strictly on a private basis between the flat owners and the contractors. If there is disagreement on the pricing, schedule or quality of the renovation works, both parties are advised to resolve the matter between themselves or seek assistance through CASE or the Small Claims Tribunals. Alternatively, they could seek remedy through court proceedings.The listing of contractors is not to be taken as any form of endorsement or recommendation by HDB. HDB assumes no responsibility or liability for the workmanship, pricing, schedule or any other unsatisfactory service rendered by the contractor.",Adhoc,03/01/2018,03/01/2018,e16c0173-3be4-4fa2-ac9f-ee56ecb0ebbc,Registered Renovation Contractors who can carry out Renovation works by Company Name,na,CSV
Health Sciences Authority,0e6996d1-b9ae-4f21-912f-facb731cc106,Listing of Registered Therapeutic  Products,29/06/2016,28/09/2017,"Data correct as at 15 May 2017.  For the latest list of health products, please refer to HSA website.http://eservice.hsa.gov.sg/prism/common/enquirepublic/SearchDRBProduct.do?action=load",Half Year,16/10/1987,15/05/2017,3ee20559-372d-42f0-bde9-245e21f7f39b,Listing of Registered Therapeutic Products,na,CSV
National Environment Agency,e3dd6071-5faa-4bd8-8c13-9c45b6c2b18c,List of Cleaning Contractors and Location of Work,21/06/2016,21/04/2017,"List of Cleaning Contractors and Location of Work(Excluding the cleaning of expressway)",Adhoc,01/09/2014,31/03/2020,4d6959b1-f48e-4b05-b20e-244b9feb6939,List of Cleaning Contractors and Location of Work,na,CSV
Early Childhood Development Agency,4a082824-3c8d-4034-bf05-c942b567d502,Listing of Childcare Centres,10/11/2017,25/01/2018,This data set contains a listing of all active childcare centres.,Adhoc,25/08/2017,23/01/2018,4fc3fd79-64f2-4027-8d5b-ce0d7c279646,Listing of Childcare Centres,na,CSV
Building and Construction Authority,ca7d65f6-ed19-4667-82ba-df04a2bb4f99,Listing of Temporary Occupation Permits (TOP) Issued,29/10/2015,19/04/2017,"This Dataset shows the Project Details, the Architect in charge of the Project, the cost of the Project, as well as the Number of Residential Units.",Annual,02/01/2014,31/12/2015,18a5ef70-dc13-4249-a8d1-b34823fec471,Listing of Temporary Occupation Permits (TOP) Issued,na,CSV
Agri-Food & Veterinary Authority of Singapore,d36f5387-1817-4ba6-8070-098a3c78aa17,List of Licensed Vet Centres,28/10/2015,06/02/2017,Current list of licensed vet clinics and hospitals in Singapore,Annual,01/05/2016,31/05/2016,b2871270-4eef-44a3-be98-908e2a73b19f,List of Licensed Vet Centres,na,CSV
National Environment Agency,b6083025-58a6-41a4-8066-c51a3282218f,List of Government Markets Hawker Centres,03/10/2016,17/04/2017,A list of information on government markets and hawker centres.,Annual,01/01/2016,01/09/2016,8f6bba57-19fc-4f36-8dcf-c0bda382364d,List of Government Markets Hawker Centres,"Information on a list of government markets and hawker centres, with details on address and number of stalls.",CSV
National Environment Agency,012e8dc8-631f-433c-aaa2-a9e975dc2ce4,"List of NEA Licensed Eating Establishments with Grades, Demerit Points and Suspension History",27/06/2016,21/04/2017,"List of NEA licensed eating establishments with grades and track records.The demerit points and suspension history is based on past 1 year.You may also visit the NEA website (http://www.nea.gov.sg/public-health/food-hygiene/nea-food-establishment-licensees)â€ù for the â€œList of NEA Licensed Caterers with Grades, Demerit Points and Suspension Historyâ€ù",Quarterly,11/06/2015,06/09/2016,34f86c3e-a90c-4de9-a69f-afc86b7f31b6,List of NEA Licensed Eating Establishments,List of NEA licensed eating establishments with grades and track records,CSV
Ministry of Home Affairs - Singapore Civil Defence Force,4b69ea5a-72a7-4c41-b065-e30021a150a6,List of verified public access AED Locations,14/06/2017,14/06/2017,List of verified public access AED Locations,Adhoc,na,na,b0f395af-d297-4c22-8523-23fff99b17a7,List of verified public access AED Locations (KML),na,KML
Ministry of Home Affairs - Singapore Civil Defence Force,4b69ea5a-72a7-4c41-b065-e30021a150a6,List of verified public access AED Locations,14/06/2017,14/06/2017,List of verified public access AED Locations,Adhoc,na,na,f450beb4-df50-407a-850e-e724783e98fc,List of verified public access AED Locations (SHP),na,SHP
National Environment Agency,71cb3344-fcf7-4c93-9af8-dc08769e533c,List of Supermarket Licences,27/06/2016,17/04/2017,List of supermarket licences with license details and locations,Quarterly,26/06/2016,26/06/2016,3561a136-4ee4-4029-a5cd-ddf591cce643,List of Supermarket Licences,List of supermarket licences with license details and locations,CSV
Majlis Ugama Islam Singapura,badece32-3463-4942-acc6-7498c21a8eae,Zakat Collection Centres,27/06/2016,06/02/2017,List of zakat collection centres,Annual,01/01/2016,30/06/2016,cbbeba46-b5da-43f9-ad7f-eafa52ac313a,Zakat Centres,List of zakat collection centres,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,704f9649-8037-4070-9832-64c1fc2b3852,Live-Births By Ethnic Group Of Father And Child Gender,02/03/2016,25/07/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,1878d3dd-9151-4d54-bda4-6fe81abf750a,Live-Births By Ethnic Group Of Father And Sex Of Child,Live birth  by ethnic group of father and sex of child,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,a544e982-0698-4aeb-ac09-5319da943f5a,Live-Births by Ethnic Group of Mother and Place of Occurrence,10/03/2016,08/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,9979d4ed-0da8-4c9c-a9c3-b999c152c3b4,Live-Births by Ethnic Group of Mother and Place of Occurrence,Live-Births by Ethnic Group of Mother and Place of Occurrence,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,98f67ac3-a38c-41ea-9749-1c0b5387c647,Live-Births by Ethnic Group of Mother and Attendant at Birth,10/03/2016,29/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,f42a5a55-9086-4323-be1a-460e382f1c28,Live-Births by Ethnic Group of Mother and Attendant at Birth,na,CSV
National Environment Agency,86eaacd2-c7c3-4071-a10a-f75176662425,List of Radiation Licences,22/06/2016,21/04/2017,List of Ionising radiation and Non-ionising radiation licenses in Singapore and the corresponding description of its application.,Other,01/02/1992,20/10/2014,42b5077c-dc1f-483a-9941-6ac5a7810c8a,List of Radiation Licences,Last updated: 20 Oct 2014,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,ef4d5b0d-15c3-45c3-8788-73ecd7c34e4c,Live-Births By Ethnic Group Of Parent,02/03/2016,02/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,aacf7acc-3210-4cde-9be7-10f6a2c801eb,Live-Births By Ethnic Group of Parent,Live-Births By Ethnic Group of Parent,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,6505e929-80ff-4a09-aed9-71210113af94,"Live-Births By Age Group, Ethnic Group And Education Qualification of Mother",29/10/2015,23/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2005,31/12/2016,257155dd-cedf-40b3-bfb4-f470f0b4cfa4,"Live-Births By Age Group, Ethnic Group And Education Qualification of Mother",na,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,0b2b9834-3890-4868-b825-d15a578c9308,"Live-Births By Birth Weight, Age Group of Mother and Child Gender",14/04/2016,21/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,d45263d4-ca60-4ece-9666-c23381ad70da,"Live-Births By Birth Weight, Age Group of Mother and Child Gender","Live-Births By Birth Weight, Age Group of Mother and Child Gender",CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,66d809ab-3f8f-4671-8f94-3d7ae84a4ca6,"Live-Births By Ethnic Group, Age Group of Mother and Birth Order",22/03/2016,08/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,8ef196f4-038e-454d-b2eb-cc08db1ba422,"Live-Births By Ethnic Group, Age Group of Mother and Birth Order","Live-Births By Ethnic Group, Age Group of Mother and Birth Order",CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,54923eb2-d6f2-49fa-88d7-93ae4b08fff0,"Live-Births By Educational Qualification, Ethnic Group of Mother and Birth Order",08/04/2016,21/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,6018e7bc-1f36-4a29-bf89-4af57cfbd785,"Live-Births By Educational Qualification, Ethnic Group of Mother and Birth Order",na,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,1361fbd6-5709-4318-a332-05fd021d99fc,"Live-Births by Ethnic group, Age group of Mother and Child Gender",11/03/2016,02/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,306dbdf7-f08e-445c-947f-eea0ac5b0ed1,"Live-Births by Ethnic group, Age group of Mother and Child Gender","Live-Births by Ethnic group, Age group of Mother and Child Gender",CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,ba27e378-516c-49c5-ad0b-a5fc57488fc4,"Live-Births (Single & Twins Births) by Period of Gestation, Birth Weight and Child Gender",14/04/2016,03/08/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,f62369b5-d999-4c3e-a060-660e381f3728,"Live-Births (Single & Twins Births) by Period of Gestation, Birth Weight and Child Gender",na,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,03cb432c-7009-4d7a-be68-6f0fc918a9b1,Live-Births By Nationality of Father and Mother,08/04/2016,31/07/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,41f522f1-3534-45aa-9b60-151e368e0a3e,Live-Births By Nationality of Father and Mother,Live-Births By Nationality of Father and Mother,CSV
Ministry of Home Affairs - Immigration & Checkpoints Authority,8200fe38-90f3-499b-af8d-c79d23344767,Live-Births By Occupation Of Mother And Birth Order,22/03/2016,31/07/2017,"Published in Report on Registration of Births and Deaths which aims to provide an overview on the annual changes in population, births and deaths.",Annual,01/01/2012,31/12/2016,6b7d9cf3-43d6-4657-984f-7a697fff65c0,Live-Births By Occupation Of Mother And Birth Order,Live-Births By Occupation Of Mother And Birth Order,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,9292f182-5d4f-4cd9-80cd-9147b0a1c6f7,Livestock Slaughtered - Chickens,na,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,04fd23b1-6d97-4e83-8d4e-dc57542756fa,Livestock Slaughtered - Chickens (Breakdown),na,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,f123bf13-faf5-47dc-bd26-aa09e5c06edb,Livestock Slaughtered - Duck,na,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,8a18d95c-bd9e-4f62-be69-92f1ce52529f,Livestock Slaughtered - Poultry,na,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,d0ea3477-621b-41c6-8398-b5cb18029d97,Livestock Slaughtered - Pigs,na,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,e1dda9d7-c1ee-4078-9184-744b1326b3f4,Livestock Slaughtered - Pigs (Breakdown),na,CSV
Agri-Food & Veterinary Authority of Singapore,97bd3186-7f8f-4034-bf16-be6e944a39f8,"Livestock Slaughtered by Type, Annual",17/07/2016,19/02/2018,To compute the number of livestock slaughtered by the local slaughterhouses.,Annual,01/01/1999,31/12/2017,19b380e4-cced-4ec0-83ad-3d3d079976f6,Livestock Slaughtered - Quails,na,CSV
Monetary Authority of Singapore,4ff620d9-25fb-4bd0-b28b-7556d63c2cb5,Locations of Money Changer,11/10/2016,15/02/2018,Locations of Money Changers,Quarterly,na,na,b928665a-a602-4980-a29d-4a32e1a35e37,Locations of Money Changer (KML),na,KML
Early Childhood Development Agency,8463d776-67a2-43ff-b563-e8bb9de2b7f3,List of Kindergarten Services,01/11/2017,19/01/2018,"This dataset contains a list of services provided by the kindergarten centres. For a full list of kindergarten centres, please refer to the dataset on ""List of Kindergarten Centres"" (Link here: https://data.gov.sg/dataset/list-of-kindergartens)",Quarterly,12/01/2018,12/01/2018,ede63efd-176d-471a-a2bd-0e24e7a6ea83,List of Kindergarten Services,na,CSV
Ministry of Home Affairs - Singapore Civil Defence Force,9d4347d8-6b5b-439f-a60b-14003bb42f37,Locations of Bomb Shelters,02/06/2016,06/02/2017,Location of Bomb Shelters,Annual,01/06/2016,31/05/2017,4ee17930-4780-403b-b6d4-b963c7bb1c09,Locations of Bomb Shelters,na,CSV
Monetary Authority of Singapore,02fc712a-f687-4008-b362-12276a3f08c8,Locations of Remittance,11/10/2016,15/02/2018,Locations of remittance service,Quarterly,na,na,08cdb22c-79c6-4fcc-b41e-de0dd72357eb,Locations of Remittance (KML),na,KML
Land Transport Authority,fb1642b8-e8c5-42c6-8767-8da80d0eed80,LTA Bicycle Rack,14/06/2017,19/12/2017,"Data display the location, counts and type of bicycle parking at RTS Stations",Annual,na,na,cf561e8c-c7c7-43da-a196-81d11b353272,LTA Bicycle Rack (KML),na,KML
Land Transport Authority,714fbc7c-a0a9-49bb-ae85-7d5194029f51,LTA Road Camera,15/06/2017,23/06/2017,The layer contains the camera installed along the roads for detering illegal parking.,Adhoc,na,na,ce5d025c-90d7-4413-9998-15c2390e2744,LTA Road Camera (KML),na,KML
Land Transport Authority,714fbc7c-a0a9-49bb-ae85-7d5194029f51,LTA Road Camera,15/06/2017,23/06/2017,The layer contains the camera installed along the roads for detering illegal parking.,Adhoc,na,na,462275e5-5aae-45da-ab6c-d41f4fba514b,LTA Road Camera (SHP),na,SHP
Land Transport Authority,414b2e05-cb26-468d-9526-2f7e9c1fcf8f,LTA Parking Standards Zone,18/11/2016,02/09/2017,LTA adopts a zonal parking standard to determine the number of parking spaces that developments are required to provide.,Adhoc,na,na,91ff7828-363d-4727-b835-f27677354bc2,LTA Parking Standards Zone (KML),na,KML
Land Transport Authority,414b2e05-cb26-468d-9526-2f7e9c1fcf8f,LTA Parking Standards Zone,18/11/2016,02/09/2017,LTA adopts a zonal parking standard to determine the number of parking spaces that developments are required to provide.,Adhoc,na,na,ced49b1a-1df5-4a9b-836a-963fd3153979,LTA Parking Standards Zone (SHP),na,SHP
National Environment Agency,6bb98102-ef4f-45bf-8d6a-e947cec1648f,Malaria Receptive Areas,20/10/2015,28/04/2016,Areas that are receptive to Malaria transmission,Quarterly,na,na,b83011d3-fc69-40ea-9143-060dfa09cced,Malaria Receptive Areas (KML),na,KML
National Environment Agency,6bb98102-ef4f-45bf-8d6a-e947cec1648f,Malaria Receptive Areas,20/10/2015,28/04/2016,Areas that are receptive to Malaria transmission,Quarterly,na,na,7c89ebf1-d39d-48fa-972a-c234e70c9b95,Malaria Receptive Areas (SHP),na,SHP
Building and Construction Authority,6e636607-a743-4169-9102-d3ae42fe7631,Management Corporation Strata Title,24/06/2016,03/11/2017,Information on Management Corporation Strata Title,Monthly,23/10/1968,01/11/2017,21b15082-ea01-40f8-ad2b-679f011d6764,Management Corporation Strata Title,"This is a listing containing information on Management Corporations, their addresses and their Managing Agents",CSV
Ministry of Trade and Industry - Department of Statistics,5f2ecf79-88a6-4736-bfd8-b7c03bfbdc1e,"Marriages under the Administration of Muslim Law Act by Age Group and Educational Qualification of Grooms and Brides, Annual",03/08/2016,29/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,d358bab1-a002-4c0a-b642-a6090fbd7c8f,Marriages under the Administration of Muslim Law Act by Age Group of Grooms and Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,5f2ecf79-88a6-4736-bfd8-b7c03bfbdc1e,"Marriages under the Administration of Muslim Law Act by Age Group and Educational Qualification of Grooms and Brides, Annual",03/08/2016,29/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,e5a7eef4-38c3-49f2-8dad-bbba8cfe1466,Marriages under the Admin. of Muslim Law Act by Age Grp and Edu Qual of Grooms and Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,5f2ecf79-88a6-4736-bfd8-b7c03bfbdc1e,"Marriages under the Administration of Muslim Law Act by Age Group and Educational Qualification of Grooms and Brides, Annual",03/08/2016,29/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,e2dd7524-3948-4c11-8394-49cc950f7f09,Muslim Marriages by Age Group & Edu Qualification of Non-University Graduate Grooms/Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,eba2f641-c81c-4bfa-af12-078126d40118,"Marriages under the Administration of Muslim Law Act by Age Group and Educational Qualification of Resident Grooms and Brides, Annual",03/08/2016,18/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Resident population comprises Singapore citizens and permanent residents. Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,0178d292-e2f6-4de6-ae6b-8f60cc2d267d,Marriages under the Admin. of Muslim Law Act by Age Group of Resident Grooms and Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,eba2f641-c81c-4bfa-af12-078126d40118,"Marriages under the Administration of Muslim Law Act by Age Group and Educational Qualification of Resident Grooms and Brides, Annual",03/08/2016,18/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Resident population comprises Singapore citizens and permanent residents. Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,a430750a-0d99-40da-bbf4-54797400f8b6,Muslim Marriages by Age Group & Educational Qualification of Resident Grooms & Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,eba2f641-c81c-4bfa-af12-078126d40118,"Marriages under the Administration of Muslim Law Act by Age Group and Educational Qualification of Resident Grooms and Brides, Annual",03/08/2016,18/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Resident population comprises Singapore citizens and permanent residents. Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,6e03ba27-848d-4e72-8b60-ac88de47c6f7,Muslim Marriages by Age Group & Edu Qual of Non-University Graduate Resident Grooms/Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,f227b110-7b31-4810-b4e9-df96faf58fd0,"Marriages under the Administration of Muslim Law Act by Educational Qualification of Grooms and Brides, Annual",03/08/2016,17/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,e08189f9-b2f3-43a2-ad1b-1e18f17edc72,Marriages under the Admin. of Muslim Law Act by Educational Qualification of Brides,na,CSV
Ministry of Trade and Industry - Department of Statistics,f227b110-7b31-4810-b4e9-df96faf58fd0,"Marriages under the Administration of Muslim Law Act by Educational Qualification of Grooms and Brides, Annual",03/08/2016,17/11/2017,"Statistics on marriages registered under the Administration of Muslim Law Act are obtained from records maintained by the Registry of Muslim Marriages.Total may include marriages with attribute(s) not reported.",Annual,01/01/1984,31/12/2016,83ccd087-86f5-40d0-aa09-b74db477bbe9,Marriages under the Admin. of Muslim Law Act by Edu Qualification of Brides & Grooms,na,CSV
